Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Ben Koyack,JAX,TE,83,0.60,1.10,4.80,-0.50,1.70,0,0,1,7,1,0,0,1,0
Niles Paul,WAS,TE,83,0.60,1.38,4.80,-0.78,1.98,0,0,1,7,1,0,0,1,0
Geoff Swaim,DAL,TE,85,0.56,1.01,4.50,-0.45,1.57,0,0,1,7,1,0,0,1,0
Randall Telfer,CLE,TE,86,0.55,1.03,4.40,-0.48,1.58,0,0,0,8,1,0,0,1,0
Cole Hikutini,SF,TE,87,0.39,0.74,3.50,-0.35,1.13,0,0,0,9,1,0,0,1,0
Alan Cross,TB,TE,88,0.39,0.67,3.10,-0.28,1.06,0,0,0,9,1,0,0,1,0
Clive Walford,OAK,TE,89,0.29,0.57,2.60,-0.28,0.86,0,0,0,9,1,0,0,1,0
Michael Roberts,DET,TE,90,0.31,0.83,2.50,-0.51,1.14,0,0,0,8,1,0,0,1,0
Xavier Grimble,PIT,TE,91,0.28,0.73,2.20,-0.45,1.00,0,0,0,8,1,0,0,1,0
Blake Bell,MIN,TE,91,0.31,0.77,2.20,-0.46,1.08,0,0,0,7,1,0,0,1,0
Chris Manhertz,CAR,TE,93,0.23,0.66,2.10,-0.43,0.89,0,0,0,9,1,0,0,1,0
Sean McGrath,LAC,TE,94,0.25,0.66,2.00,-0.41,0.91,0,0,0,8,1,0,0,1,0
Daniel Brown,CHI,TE,95,0.24,0.63,1.90,-0.39,0.87,0,0,0,7,1,0,0,1,0
Neal Sterling,NYJ,TE,96,0.20,0.57,1.80,-0.37,0.77,0,0,0,9,1,0,0,1,0
MarQueis Gray,MIA,TE,97,0.04,0.10,0.30,-0.06,0.14,0,0,0,9,1,0,0,1,0
Kellen Winslow,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Owen Daniels,DEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Daniel Fells,NYG,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Matt Spaeth,PIT,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Scott Chandler,NE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Clark Harris,CIN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Fred Davis,WAS,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Craig Stevens,TEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Gary Barnidge,CLE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Jacob Tamme,ATL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Kellen Davis,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Matthew Mulligan,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
David Johnson,PIT,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
James Casey,DEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Chase Coffman,IND,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Bear Pascoe,NE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Brandon Pettigrew,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
John Phillips,NO,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Dennis Pitta,BAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Tony Moeaki,CHI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,7,1,0,0,1,0
Jim Dray,ARI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Garrett Graham,DEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Clay Harbor,NO,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Anthony McCoy,SEA,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Andrew Quarless,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Richie Brockel,CAR,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Jeff Cumberland,LAC,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Logan Paulsen,SF,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Rob Housler,NE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Bruce Miller,SF,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
David Ausberry,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
D.J. Williams,WAS,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Dwayne Allen,NE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Orson Charles,KC,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Ladarius Green,PIT,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Greg Scruggs,NE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Chase Ford,BAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Cooper Helfet,OAK,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Brandon Bostick,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Larry Donnell,BAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Gavin Escobar,BAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Michael Williams,NE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Mychal Rivera,JAX,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Chris Gragg,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Justice Cunningham,LAR,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Timothy Wright,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Zach Sudfeld,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Jake Stoneburner,LAR,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Crockett Gillmore,BAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Jace Amaro,TEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Brian Leonhardt,MIN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,7,1,0,0,1,0
Marcel Jensen,WAS,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Asante Cleveland,LAC,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Nic Jacobs,JAX,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Blake Annen,BUF,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
RaShaun Allen,HOU,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Justin Perillo,CHI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,7,1,0,0,1,0
MyCole Pruitt,CHI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,7,1,0,0,1,0
Gerald Christian,ARI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Darren Waller,BAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Rory Anderson,BUF,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Kennard Backman,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
E.J. Bibbs,WAS,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Khari Lee,BUF,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Jerome Cunningham,TEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Wes Saxton,BUF,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Temarrick Hemingway,LAR,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Rico Gathers,DAL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Beau Sandland,GB,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Ben Braunecker,CHI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,7,1,0,0,1,0
Cole Wick,DET,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Matt LaCosse,NYG,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Erik Swoope,IND,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Anthony Denham,PHI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Bryce Williams,CAR,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Braedon Bowman,NO,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Brian Parker,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Joshua Perkins,ATL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Scott Simonson,CAR,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
D.J. Tialavea,ATL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Matt Lengel,CLE,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Alex Ellis,JAX,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Jordan Leggett,NYJ,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Jake Butt,DEN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Mason Schreck,CIN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Jeremy Sprinkle,WAS,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Bucky Hodges,MIN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,7,1,0,0,1,0
Eric Saubert,ATL,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Ricky Seals-Jones,ARI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Hakeem Valles,ARI,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Sean Culkin,LAC,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Cethan Carter,CIN,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Evan Baylis,HOU,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Shane Smith,NYG,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,8,1,0,0,1,0
Brandon Myers,TB,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Jordan Cameron,MIA,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Dominique Jones,MIA,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Chris Pantale,MIA,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Thomas Duarte,MIA,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
Antony Auclair,TB,TE,98,0.00,0.00,0.00,0.00,0.00,0,0,0,9,1,0,0,1,0
DeAndre Hopkins,HOU,WR,1,21.03,8.09,168.20,12.94,29.11,5,1,1,1,2,1,7,0,1
Antonio Brown,PIT,WR,2,19.81,8.43,158.50,11.38,28.24,5,1,1,1,2,1,7,0,1
Tyreek Hill,KC,WR,3,14.76,7.69,132.80,7.07,22.45,2,3,0,4,2,1,5,0,1
Doug Baldwin,SEA,WR,4,15.31,7.49,122.50,7.83,22.80,3,0,1,4,2,1,4,0,1
Larry Fitzgerald,ARI,WR,5,15.30,9.56,122.40,5.74,24.86,2,2,2,2,2,1,6,0,1
Jarvis Landry,MIA,WR,6,15.29,4.92,122.30,10.37,20.20,3,2,2,1,2,1,7,0,1
T.Y. Hilton,IND,WR,7,13.36,11.54,120.20,1.81,24.90,3,0,0,6,2,1,3,0,1
A.J. Green,CIN,WR,8,14.85,8.97,118.80,5.88,23.82,3,1,2,2,2,1,6,0,1
Alshon Jeffery,PHI,WR,9,13.11,6.74,118.00,6.37,19.85,3,0,2,4,2,1,5,0,1
Mike Evans,TB,WR,10,14.65,6.35,117.20,8.30,21.00,4,0,3,1,2,1,7,0,1
Golden Tate,DET,WR,11,14.64,6.16,117.10,8.48,20.80,3,2,0,3,2,1,5,0,1
Michael Crabtree,OAK,WR,11,14.64,8.49,117.10,6.14,23.13,3,2,1,3,2,1,6,0,1
Michael Thomas,NO,WR,13,14.56,5.66,116.50,8.90,20.22,1,5,0,2,2,1,6,0,1
Julio Jones,ATL,WR,14,14.35,5.35,114.80,9.00,19.70,1,3,3,1,2,1,7,0,1
Marvin Jones Jr.,DET,WR,15,14.31,7.84,114.50,6.47,22.15,3,0,2,3,2,1,5,0,1
Adam Thielen,MIN,WR,16,14.24,6.09,113.90,8.15,20.33,3,0,1,4,2,1,4,0,1
Brandin Cooks,NE,WR,17,13.79,7.80,110.30,5.99,21.59,2,2,1,3,2,1,5,0,1
Chris Hogan,NE,WR,18,13.56,7.19,108.50,6.37,20.75,4,0,2,2,2,1,6,0,1
Davante Adams,GB,WR,19,13.43,7.43,107.40,5.99,20.86,3,0,1,4,2,1,4,0,1
Dez Bryant,DAL,WR,20,13.24,4.65,105.90,8.59,17.89,2,3,0,3,2,1,5,0,1
Robby Anderson,NYJ,WR,21,11.49,6.00,103.40,5.49,17.49,1,3,1,4,2,1,5,0,1
Amari Cooper,OAK,WR,22,11.40,12.43,102.60,-1.03,23.83,2,0,2,5,2,0,4,0,0
Nelson Agholor,PHI,WR,23,11.31,5.91,101.80,5.40,17.22,2,2,0,5,2,1,4,0,1
Keenan Allen,LAC,WR,24,12.60,4.11,100.80,8.49,16.71,2,1,2,3,2,1,5,0,1
Devin Funchess,CAR,WR,25,11.14,6.88,100.30,4.27,18.02,2,1,1,5,2,1,4,0,1
Jordy Nelson,GB,WR,26,14.26,7.73,99.80,6.53,21.99,3,0,2,3,2,1,5,0,1
Demaryius Thomas,DEN,WR,27,12.44,6.73,99.50,5.70,19.17,2,1,3,2,2,1,6,0,1
Ted Ginn Jr.,NO,WR,28,12.15,5.33,97.20,6.82,17.48,2,1,2,3,2,1,5,0,1
Paul Richardson,SEA,WR,29,12.06,6.59,96.50,5.48,18.65,1,1,0,6,2,1,2,0,0
Jermaine Kearse,NYJ,WR,30,10.33,5.44,93.00,4.89,15.78,1,2,2,4,2,1,5,0,1
Stefon Diggs,MIN,WR,31,15.48,12.98,92.90,2.50,28.46,2,1,0,5,2,1,3,0,1
Kelvin Benjamin,CAR,WR,32,11.44,5.39,91.50,6.05,16.82,1,4,1,3,2,1,6,0,1
JuJu Smith-Schuster,PIT,WR,33,11.30,8.89,90.40,2.41,20.19,1,1,2,4,2,1,4,0,1
Pierre Garcon,SF,WR,34,11.25,5.59,90.00,5.66,16.84,0,3,1,5,2,1,4,0,1
Will Fuller V,HOU,WR,35,17.80,7.98,89.00,9.82,25.78,3,1,0,4,2,1,4,0,1
Rishard Matthews,TEN,WR,35,11.13,4.93,89.00,6.19,16.06,0,2,2,4,2,1,4,0,1
Robert Woods,LAR,WR,37,10.91,6.38,87.30,4.53,17.29,1,1,2,4,2,1,4,0,1
Kenny Stills,MIA,WR,38,10.76,7.13,86.10,3.63,17.89,1,2,1,4,2,1,4,0,1
Marqise Lee,JAX,WR,39,10.44,6.39,83.50,4.05,16.83,1,2,1,4,2,1,4,0,1
DeSean Jackson,TB,WR,40,10.25,4.91,82.00,5.34,15.16,0,3,1,4,2,1,4,0,1
Mohamed Sanu,ATL,WR,41,11.70,4.86,81.90,6.84,16.56,1,2,3,2,2,1,6,0,1
Cooper Kupp,LAR,WR,42,10.13,5.19,81.00,4.93,15.32,2,1,0,5,2,1,3,0,1
Allen Hurns,JAX,WR,43,9.83,5.03,78.60,4.79,14.86,1,1,0,6,2,1,2,0,0
Travis Benjamin,LAC,WR,44,9.69,7.13,77.50,2.56,16.82,2,1,1,4,2,1,4,0,1
Jeremy Maclin,BAL,WR,45,8.44,6.42,76.00,2.02,14.87,0,3,2,4,2,1,5,0,1
Odell Beckham Jr.,NYG,WR,46,14.80,10.16,74.00,4.64,24.96,2,1,0,5,2,1,3,0,1
Randall Cobb,GB,WR,47,9.00,5.56,72.00,3.44,14.56,1,1,2,4,2,1,4,0,1
Danny Amendola,NE,WR,48,10.11,5.24,70.80,4.87,15.36,0,3,0,5,2,1,3,0,1
Sammy Watkins,LAR,WR,49,8.76,8.64,70.10,0.13,17.40,1,1,1,5,2,1,3,0,1
Tyler Lockett,SEA,WR,50,8.49,5.21,67.90,3.28,13.70,1,0,2,5,2,1,3,0,1
Emmanuel Sanders,DEN,WR,51,11.27,6.90,67.60,4.37,18.16,1,0,2,5,2,1,3,0,1
Sterling Shepard,NYG,WR,51,11.27,7.69,67.60,3.58,18.96,1,0,3,4,2,1,4,0,1
Deonte Thompson,BUF,WR,53,7.42,7.55,66.80,-0.12,14.97,1,2,0,6,2,0,3,0,0
Terrance Williams,DAL,WR,54,8.21,6.59,65.70,1.62,14.80,1,0,1,6,2,1,2,0,0
J.J. Nelson,ARI,WR,55,9.39,7.14,65.70,2.25,16.52,1,1,1,5,2,1,3,0,1
Jaron Brown,ARI,WR,56,8.05,5.19,64.40,2.86,13.24,1,0,1,6,2,1,2,0,0
Marquise Goodwin,SF,WR,57,7.14,4.68,64.30,2.46,11.82,0,1,1,7,2,1,2,0,0
Cole Beasley,DAL,WR,58,7.81,6.33,62.50,1.48,14.14,2,0,0,6,2,1,2,0,0
Ryan Grant,WAS,WR,59,7.68,1.67,61.40,6.00,9.35,0,0,2,6,2,1,2,0,0
DeVante Parker,MIA,WR,60,12.24,6.35,61.20,5.89,18.59,0,1,3,4,2,1,4,0,1
Adam Humphries,TB,WR,61,7.51,4.20,60.10,3.31,11.72,0,0,3,5,2,1,3,0,1
Mike Wallace,BAL,WR,62,6.57,6.46,59.10,0.11,13.02,1,1,1,6,2,1,3,0,1
Tyrell Williams,LAC,WR,63,7.28,6.44,58.20,0.84,13.71,1,0,0,7,2,1,1,0,0
Brandon Coleman,NO,WR,64,7.15,5.01,57.20,2.14,12.16,0,1,1,6,2,1,2,0,0
Eric Decker,TEN,WR,65,8.10,4.02,56.70,4.08,12.12,0,1,1,6,2,1,2,0,0
TJ Jones,DET,WR,66,7.04,4.23,56.30,2.81,11.27,0,1,1,6,2,1,2,0,0
Bennie Fowler III,DEN,WR,67,6.75,4.98,54.00,1.77,11.73,0,1,1,6,2,1,2,0,0
Kendall Wright,CHI,WR,68,7.70,4.94,53.90,2.76,12.64,0,2,0,6,2,1,2,0,0
Jamison Crowder,WAS,WR,69,7.69,6.72,53.80,0.96,14.41,1,0,0,7,2,1,1,0,0
Donte Moncrief,IND,WR,70,5.87,3.78,52.80,2.08,9.65,0,0,2,7,2,1,2,0,0
Ricardo Louis,CLE,WR,71,6.53,3.23,52.20,3.29,9.76,0,0,2,6,2,1,2,0,0
Brandon LaFell,CIN,WR,72,6.48,3.23,51.80,3.25,9.70,0,1,1,6,2,1,2,0,0
Albert Wilson,KC,WR,73,7.39,4.36,51.70,3.02,11.75,0,1,1,7,2,1,2,0,0
Taylor Gabriel,ATL,WR,74,7.29,5.39,51.00,1.90,12.68,0,1,1,6,2,1,2,0,0
Terrelle Pryor Sr.,WAS,WR,75,6.25,4.96,50.00,1.29,11.21,0,1,1,6,2,1,2,0,0
John Brown,ARI,WR,76,8.27,4.16,49.60,4.10,12.43,0,1,1,6,2,1,2,0,0
Martavis Bryant,PIT,WR,76,6.20,5.46,49.60,0.74,11.66,1,0,0,7,2,1,1,0,0
Jordan Matthews,BUF,WR,78,6.99,2.16,48.90,4.82,9.15,0,0,0,8,2,1,0,0,0
Trent Taylor,SF,WR,79,5.38,3.49,48.40,1.89,8.87,0,0,1,8,2,1,1,0,0
Josh Doctson,WAS,WR,80,5.99,3.98,47.90,2.00,9.97,0,0,1,7,2,1,1,0,0
Jeremy Kerley,NYJ,WR,81,5.71,4.78,45.70,0.93,10.49,0,1,0,8,2,1,1,0,0
Cordarrelle Patterson,OAK,WR,82,5.03,5.09,45.30,-0.06,10.12,0,1,1,7,2,0,2,0,0
Torrey Smith,PHI,WR,83,4.76,5.05,42.80,-0.29,9.81,0,1,1,7,2,0,2,0,0
Brice Butler,DAL,WR,84,5.29,5.43,42.30,-0.14,10.72,0,1,0,7,2,0,1,0,0
Andre Holmes,BUF,WR,85,5.16,4.25,41.30,0.91,9.42,0,1,0,7,2,1,1,0,0
Bruce Ellington,HOU,WR,86,5.15,4.85,41.20,0.30,10.00,0,0,1,7,2,1,1,0,0
Seth Roberts,OAK,WR,87,5.13,2.85,41.00,2.27,7.98,0,0,0,9,2,1,0,0,0
Zay Jones,BUF,WR,88,4.85,4.98,38.80,-0.13,9.83,0,1,0,7,2,0,1,0,0
Taywan Taylor,TEN,WR,89,4.63,4.40,37.00,0.22,9.03,0,1,0,7,2,1,1,0,0
Aldrick Robinson,SF,WR,90,4.07,4.42,36.60,-0.35,8.49,0,1,0,8,2,0,1,0,0
De'Anthony Thomas,KC,WR,91,3.89,4.89,35.00,-1.00,8.78,0,1,0,8,2,0,1,0,0
Brandon Marshall,NYG,WR,92,6.68,5.02,33.40,1.66,11.70,0,0,2,6,2,1,2,0,0
Mack Hollins,PHI,WR,93,3.58,4.28,32.20,-0.70,7.86,0,1,0,8,2,0,1,0,0
Russell Shepard,CAR,WR,94,3.93,3.66,31.40,0.27,7.58,0,1,0,8,2,1,1,0,0
Michael Campanaro,BAL,WR,95,3.38,3.96,30.40,-0.58,7.34,0,0,1,8,2,0,1,0,0
Roger Lewis,NYG,WR,96,3.79,3.50,30.30,0.29,7.29,0,0,1,7,2,1,1,0,0
Rashard Higgins,CLE,WR,97,3.68,5.12,29.40,-1.44,8.79,0,1,0,7,2,0,1,0,0
Kenny Golladay,DET,WR,98,5.84,8.69,29.20,-2.85,14.53,1,0,0,7,2,0,1,0,0
Kenny Britt,CLE,WR,99,3.60,4.81,28.80,-1.21,8.41,0,0,1,7,2,0,1,0,0
Chris Conley,KC,WR,100,7.13,1.63,28.50,5.49,8.76,0,0,0,9,2,1,0,0,0
Tavon Austin,LAR,WR,101,3.53,3.77,28.20,-0.25,7.30,0,0,1,7,2,0,1,0,0
Geronimo Allison,GB,WR,102,3.96,6.09,27.70,-2.13,10.05,0,1,0,7,2,0,1,0,0
Justin Hardy,ATL,WR,103,3.40,3.15,27.20,0.25,6.55,0,0,0,8,2,1,0,0,0
Kamar Aiken,IND,WR,104,3.01,1.92,27.10,1.09,4.93,0,0,0,9,2,1,0,0,0
Chris Moore,BAL,WR,104,3.01,3.93,27.10,-0.92,6.94,0,0,1,8,2,0,1,0,0
Keelan Cole,JAX,WR,106,3.35,2.85,26.80,0.50,6.20,0,0,0,8,2,1,0,0,0
Laquon Treadwell,MIN,WR,107,3.74,2.80,26.20,0.94,6.54,0,0,0,7,2,1,0,0,0
Demarcus Robinson,KC,WR,108,2.81,3.48,25.30,-0.67,6.29,0,0,1,8,2,0,1,0,0
Johnny Holton,OAK,WR,109,2.76,5.18,24.80,-2.42,7.93,0,1,1,7,2,0,2,0,0
Curtis Samuel,CAR,WR,110,2.60,2.44,23.40,0.16,5.04,0,0,0,9,2,1,0,0,0
Jarius Wright,MIN,WR,111,3.19,3.62,22.30,-0.44,6.81,0,0,0,7,2,0,0,0,0
Josh Bellamy,CHI,WR,112,3.06,3.65,21.40,-0.60,6.71,0,0,0,7,2,0,0,0,0
Corey Davis,TEN,WR,113,6.37,4.82,19.10,1.54,11.19,0,1,0,7,2,1,1,0,0
Corey Coleman,CLE,WR,114,9.10,7.20,18.20,1.90,16.30,0,1,0,7,2,1,1,0,0
Kasen Williams,CLE,WR,115,2.18,3.26,17.40,-1.09,5.44,0,0,0,8,2,0,0,0,0
Chris Godwin,TB,WR,116,2.04,2.17,16.30,-0.13,4.20,0,0,0,8,2,0,0,0,0
Tommylee Lewis,NO,WR,117,2.03,2.62,16.20,-0.60,4.65,0,0,0,8,2,0,0,0,0
Tre McBride,CHI,WR,118,1.88,4.01,15.00,-2.13,5.88,0,1,0,7,2,0,1,0,0
Cody Latimer,DEN,WR,119,1.85,2.57,14.80,-0.72,4.42,0,0,0,8,2,0,0,0,0
Alex Erickson,CIN,WR,120,1.83,3.44,14.60,-1.62,5.27,0,0,0,8,2,0,0,0,0
Tavarres King,NYG,WR,121,1.79,4.01,14.30,-2.22,5.80,0,0,1,7,2,0,1,0,0
Brandon Tate,BUF,WR,122,1.74,3.49,13.90,-1.76,5.23,0,0,1,7,2,0,1,0,0
Leonte Carroo,MIA,WR,122,1.74,3.57,13.90,-1.83,5.31,0,0,1,8,2,0,1,0,0
Josh Malone,CIN,WR,124,1.73,3.77,13.80,-2.05,5.50,0,1,0,7,2,0,1,0,0
Phillip Dorsett,NE,WR,125,1.65,3.46,13.20,-1.81,5.11,0,0,0,8,2,0,0,0,0
Braxton Miller,HOU,WR,126,1.63,2.51,13.00,-0.88,4.13,0,0,0,8,2,0,0,0,0
Breshad Perriman,BAL,WR,127,1.38,1.93,12.40,-0.55,3.31,0,0,0,8,2,0,0,0,0
Brittan Golden,ARI,WR,128,1.50,1.99,12.00,-0.49,3.49,0,0,0,8,2,0,0,0,0
Bryce Treggs,CLE,WR,129,1.44,1.86,11.50,-0.43,3.30,0,0,0,8,2,0,0,0,0
Pharoh Cooper,LAR,WR,129,1.44,2.27,11.50,-0.83,3.70,0,0,0,8,2,0,0,0,0
Eli Rogers,PIT,WR,131,1.43,2.96,11.40,-1.54,4.39,0,0,0,8,2,0,0,0,0
Amara Darboh,SEA,WR,132,1.31,1.80,10.50,-0.49,3.11,0,0,0,8,2,0,0,0,0
Tyler Boyd,CIN,WR,133,1.29,1.35,10.30,-0.06,2.64,0,0,0,8,2,0,0,0,0
Brian Quick,WAS,WR,134,1.25,2.61,10.00,-1.36,3.86,0,0,0,8,2,0,0,0,0
Chester Rogers,IND,WR,135,1.08,1.57,9.70,-0.49,2.64,0,0,0,9,2,0,0,0,0
