Player,Team,Position,Position Rank,Average,Std. Dev.,Total,Weekly Floor,Weekly Ceiling,#Top-12,#13-24,#24-36,#Rest,Position,Avg>StdDev,#Startable,TE Filter,Requirement
Dustin Vaughan,BAL,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Connor Shaw,CHI,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Bryce Petty,NYJ,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Dylan Thompson,LAR,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Garrett Grayson,NO,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Paxton Lynch,DEN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Christian Hackenberg,NYJ,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Connor Cook,OAK,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Cardale Jones,LAC,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Nate Sudfeld,WAS,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Jake Rudock,DET,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Brandon Allen,LAR,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Jeff Driskel,CIN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Trevone Boykin,SEA,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Taylor Heinicke,MIN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,7,0,1,0,0,1,0
Stephen Morris,IND,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Joe Callahan,GB,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Brad Kaaya,DET,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Chad Kelly,DEN,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Patrick Mahomes,KC,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Joshua Dobbs,PIT,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Nathan Peterman,BUF,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Davis Webb,NYG,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Taysom Hill,NO,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,8,0,1,0,0,1,0
Dan LeFevour,TB,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
Ryan Tannehill,MIA,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
David Fales,MIA,QB,51,0.00,0.00,0.00,0.00,0.00,0,0,9,0,1,0,0,1,0
